,Price
2018-06-23,10.116496744871638
2018-06-24,10.116496744871638
2018-06-25,10.076403390246899
2018-06-26,10.124751259059083
2018-06-27,10.207296400933547
2018-06-28,10.19727490480285
2018-06-29,10.139038201695124
2018-06-30,10.139038201695124
2018-07-01,10.139038201695124
2018-07-02,10.431400933546247
2018-07-03,10.480058346640462
2018-07-04,10.480058346640462
2018-07-05,10.549337919174551
2018-07-06,10.466173688736026
2018-07-07,10.466173688736026
2018-07-08,10.466173688736026
2018-07-09,10.655847561724604
2018-07-10,10.694739589730993
2018-07-11,10.775835892396513
2018-07-12,10.691649674487163
2018-07-13,10.63836875076772
2018-07-14,10.63836875076772
2018-07-15,10.63836875076772
2018-07-16,10.562305613560989
2018-07-17,10.644942881709865
2018-07-18,10.728126765753593
2018-07-19,10.655803955288048
2018-07-20,10.527446259673258
2018-07-21,10.527446259673258
2018-07-22,10.527446259673258
2018-07-23,10.636162633583098
2018-07-24,10.63836875076772
2018-07-25,10.568410514678787
2018-07-26,10.655803955288048
2018-07-27,10.622321582115218
2018-07-28,10.622321582115218
2018-07-29,10.622321582115218
2018-07-30,9.952201203783318
2018-07-31,9.992450558899398
