,Price
2021-11-21,41.30945706915612
2021-11-22,41.599051713548704
2021-11-23,42.550587151455595
2021-11-24,42.67077078982926
2021-11-25,42.41337734921999
2021-11-26,36.80326249846456
2021-11-27,36.80326249846456
2021-11-28,36.80326249846456
2021-11-29,37.862983662940664
2021-11-30,35.667064856897184
2021-12-01,35.46328522294558
2021-12-02,36.00851799533226
2021-12-03,35.87148998894484
2021-12-04,35.87148998894484
2021-12-05,35.87148998894484
2021-12-06,37.70597592433362
2021-12-07,39.15416779265446
2021-12-08,39.08235351922369
2021-12-09,38.49494288170986
2021-12-10,38.79991647217787
2021-12-11,38.79991647217787
2021-12-12,38.79991647217787
2021-12-13,38.67231666871392
2021-12-14,38.46072964009335
2021-12-15,38.44160913892642
2021-12-16,39.105991278712686
2021-12-17,38.63495885026409
2021-12-18,38.63495885026409
2021-12-19,38.63495885026409
2021-12-20,37.36004544896204
2021-12-21,38.53735413339884
2021-12-22,39.2168799901732
2021-12-23,39.79885272079597
2021-12-24,39.83041763911067
2021-12-25,39.83041763911067
2021-12-26,39.83041763911067
2021-12-27,40.75289767841789
2021-12-28,41.04092863284608
2021-12-29,41.215429308438765
2021-12-30,41.542174794251316
2021-12-31,40.44311018302419
2022-01-01,40.44311018302419
2022-01-02,40.44311018302419
2022-01-03,41.23254821275027
2022-01-04,41.7493502026778
2022-01-05,42.04182041518241
2022-01-06,42.889364942881706
2022-01-07,42.39479179461982
2022-01-08,42.39479179461982
2022-01-09,42.39479179461982
2022-01-10,42.12846087704214
2022-01-11,43.58518548089915
2022-01-12,44.01232895221717
2022-01-13,43.7525709372313
2022-01-14,44.806620808254515
2022-01-15,44.806620808254515
2022-01-16,45.09170495025181
2022-01-17,45.04209986488146
2022-01-18,45.989092863284604
2022-01-19,46.45172583220734
2022-01-20,46.44247942513204
2022-01-21,45.5530094582975
2022-01-22,45.5530094582975
2022-01-23,45.5530094582975
2022-01-24,44.68219383368136
2022-01-25,45.84334786881219
2022-01-26,46.96598452278589
2022-01-27,46.99278896941408
2022-01-28,47.06992568480531
2022-01-29,47.06992568480531
2022-01-30,47.06992568480531
2022-01-31,47.271496744871634
2022-02-01,47.10641567375015
2022-02-02,47.09329627809851
2022-02-03,47.47899520943373
2022-02-04,48.45487163739098
2022-02-05,48.45487163739098
2022-02-06,48.45487163739098
2022-02-07,48.18204336076649
2022-02-08,47.291733202309295
2022-02-09,47.58718584940425
2022-02-10,47.59243336199484
2022-02-11,49.45506448839209
2022-02-12,49.45506448839209
2022-02-13,49.45506448839209
2022-02-14,50.781261515784294
2022-02-15,48.77279388281537
2022-02-16,49.58098083773492
2022-02-17,48.6698218892028
2022-02-18,48.922386684682465
